DU_ID,Region
02_NA,NOD
02_PA,NOD
02_SA,NOD
03_NA,NOD
03_PA,NOD
03_SA,NOD
04_NA,NOD
04_PA1,NOD
04_PA2,NOD
05_NA,NOD
06_NA,NOD
06_PA,NOD
07N_NA,NOD
07N_PA,NOD
07S_NA,NOD
07S_PA,NOD
08N_NA,NOD
08N_PA,NOD
08N_SA1,NOD
08N_SA2,NOD
08S_NA1,NOD
08S_NA2,NOD
08S_PA,NOD
08S_SA1,NOD
08S_SA2,NOD
08S_SA3,NOD
09_NA,NOD
09_SA1,NOD
09_SA2,NOD
10_NA,NOD
11_NA,NOD
11_SA1,NOD
11_SA2,NOD
11_SA3,NOD
11_SA4,NOD
12_NA,NOD
12_SA,NOD
13_NA,NOD
14_NA,NOD
15N_NA1,NOD
15N_NA2,NOD
15N_SA,NOD
15S_NA1,NOD
15S_NA2,NOD
15S_SA,NOD
16_NA1,NOD
16_NA2,NOD
16_PA,NOD
16_SA,NOD
17N_NA,NOD
17S_NA,NOD
17S_SA,NOD
18_NA,NOD
18_SA,NOD
19_SA,NOD
20_NA1,NOD
20_NA2,NOD
20_PA,NOD
21_NA,NOD
21_PA,NOD
21_SA,NOD
22_NA,NOD
22_SA1,NOD
22_SA2,NOD
23_NA,NOD
24_NA1,NOD
24_NA2,NOD
24_NA3,NOD
25_NA,NOD
25_PA1,NOD
25_PA2,NOD
26N_NA,NOD
26S_NA,NOD
50_PA1,SOD
50_PA2,SOD
60N_NA1,SOD
60N_NA2,SOD
60N_NA3,SOD
60N_NA4,SOD
60N_NA5,SOD
60S_NA1,SOD
60S_NA2,SOD
60S_PA1,SOD
60S_PA2,SOD
61_NA1,SOD
61_NA2,SOD
61_NA3,SOD
61_NA4,SOD
61_NA5,SOD
61_NA6,SOD
61_PA1,SOD
61_PA2,SOD
61_PA3,SOD
62_NA1,SOD
62_NA2,SOD
62_NA3,SOD
62_NA4,SOD
62_NA5,SOD
62_NA6,SOD
63_NA1,SOD
63_NA2,SOD
63_NA3,SOD
63_NA4,SOD
64_NA1,SOD
64_NA2,SOD
64_PA1,SOD
64_PA2,SOD
64_PA3,SOD
64_XA,SOD
71_NA1,SOD
71_NA2,SOD
71_PA1,SOD
71_PA2,SOD
71_PA3,SOD
71_PA4,SOD
71_PA5,SOD
71_PA6,SOD
71_PA7,SOD
71_PA8,SOD
72_NA1,SOD
72_NA2,SOD
72_PA,SOD
72_XA1,SOD
72_XA2,SOD
72_XA3,SOD
73_NA,SOD
73_PA1,SOD
73_PA2,SOD
73_PA3,SOD
73_XA,SOD
90_PA1,SOD
90_PA2,SOD
