Delivery_Variable,Region
02_PU,NOD
02_SU,NOD
03_PU1,NOD
03_PU2,NOD
03_SU,NOD
11_NU1,NOD
12_NU1,NOD
13_NU1,NOD
16_PU,NOD
20_NU1,NOD
21_PU,NOD
24_NU1,NOD
24_NU2,NOD
24_NU3,NOD
25_PU,NOD
26N_NU1,NOD
26N_NU2,NOD
26N_NU3,NOD
26N_PU1,NOD
26N_PU2,NOD
26N_PU3,NOD
26S_NU1,NOD
26S_PU1,NOD
26S_PU2,NOD
26S_PU4,NOD
26S_PU5,NOD
26S_PU6,NOD
50_PU,NOD
60N_NU2,NOD
60S_NU1,SOD
61_NU2,SOD
90_PU,SOD
ACFC,SOD
AMADR,NOD
AMCYN,NOD
ANTOC,SOD
BNCIA,NOD
CCWD,SOD
CSB038,SOD
CSB103,SOD
CSPSO,NOD
EBMUD,SOD
ELDID_NU1,NOD
ELDID_NU2,NOD
ELDID_NU3,NOD
ESB324,SOD
ESB347,SOD
ESB355,SOD
ESB414,SOD
ESB420,SOD
FRFLD,SOD
GDPUD_NU,NOD
GRSVL,NOD
JLIND,NOD
KCWA,SOD
MHILL_NU,NOD
MWD,SOD
NAPA,NOD
NAPA2,NOD
PCWA3,NOD
PLMAS,NOD
SBA029,SOD
SBA036,SOD
SBCWD,SOD
SCVWD,SOD
SUISN,NOD
SVWRD,SOD
TLMNE,NOD
TVAFB,NOD
UNION,NOD
UPANG,NOD
VLLJO,NOD
WLDWD,NOD
WSB032,SOD
