scenario,NOD_GW_Mean,SOD_GW_Mean,NOD_Reservoir_Mean,SOD_Reservoir_Mean,Exports_and_Salinity,InDelta_Salinity,NOD_Ag_Mean,SOD_Ag_Mean,NOD_DW_Mean,SOD_DW_Mean,NOD_Eflows_Mean,SOD_Eflows_Mean,Delta_Ecology,Salmon_Abundance,NOD_GW_Std,SOD_GW_Std,NOD_Reservoir_Std,SOD_Reservoir_Std,Exports_and_Salinity_Std,InDelta_Salinity_Std,NOD_Ag_Std,SOD_Ag_Std,NOD_DW_Std,SOD_DW_Std,NOD_Eflows_Std,SOD_Eflows_Std,Delta_Ecology_Std,Salmon_Abundance_Std
s0011,2.3,2.25,2.5,2.75,2.0,2.0,1.7808219178082192,1.9830508474576272,2.3513513513513513,2.5641025641025643,3.090909090909091,3.0,4.0,4.0,0.5959634332684375,1.2880570286640687,0.5773502691896257,0.5,0,0,0.931643937445848,1.074653519523912,1.378731627584172,1.3725671643976936,0.30151134457776363,0.6324555320336759,0,0
s0020,2.1666666666666665,2.8333333333333335,2.5,3.0,2.0,2.0,1.7397260273972603,2.0338983050847457,2.3513513513513513,2.6052631578947367,3.090909090909091,3.0,3.0,4.0,0.8339078479367937,1.0298573010888747,0.5773502691896257,0.816496580927726,0,0,0.8979513297296047,1.066190474263802,1.378731627584172,1.3663815636654695,0.30151134457776363,0.6324555320336759,0,0
s0021,2.1666666666666665,2.8333333333333335,2.5,3.0,2.0,2.0,1.7534246575342465,2.016949152542373,2.4864864864864864,2.5789473684210527,3.090909090909091,3.0,3.0,4.0,0.8339078479367937,1.0298573010888747,0.5773502691896257,0.816496580927726,0,0,0.9246744459809786,1.0746535195239122,1.3043010393314884,1.368202192805688,0.30151134457776363,0.6324555320336759,0,0
s0023,2.1666666666666665,2.9166666666666665,2.5,3.0,2.0,2.0,1.8356164383561644,2.0,2.6216216216216215,2.5128205128205128,3.090909090909091,3.0,3.0,4.0,1.1768846465411844,0.9962049198956219,0.5773502691896257,0.816496580927726,0,0,0.9130793234090553,1.0827805840074194,1.2769614836128105,1.3930616579053654,0.30151134457776363,0.6324555320336759,0,0
s0024,2.1666666666666665,2.9166666666666665,2.5,3.0,2.0,3.0,1.8082191780821917,2.016949152542373,2.5135135135135136,2.5128205128205128,3.090909090909091,3.0,3.0,4.0,1.1768846465411844,0.9962049198956219,0.5773502691896257,0.816496580927726,0,0,0.9228207699851475,1.0746535195239122,1.3666996260582893,1.3930616579053654,0.30151134457776363,0.6324555320336759,0,0
s0025,2.2333333333333334,2.8333333333333335,2.5,2.5,2.0,2.0,1.63013698630137,2.288135593220339,2.324324324324324,2.6052631578947367,3.1818181818181817,3.0,3.0,4.0,0.8172001541568766,0.7177405625652734,0.5773502691896257,0.5773502691896257,0,0,0.8741162094600424,1.1454685452661013,1.395509744662303,1.3663815636654695,0.4045199174779453,0.6324555320336759,0,0
s0026,2.2,2.0,2.5,2.5,2.0,2.0,1.8356164383561644,2.1186440677966103,2.3513513513513513,2.6052631578947367,3.090909090909091,3.0,3.0,4.0,0.8051557998728978,0.9534625892455924,0.5773502691896257,0.5773502691896257,0,0,0.9720210707326509,1.0353201364414288,1.378731627584172,1.3663815636654695,0.30151134457776363,0.6324555320336759,0,0
s0027,2.2,2.8333333333333335,2.5,2.5,2.0,2.0,1.9589041095890412,2.288135593220339,2.4054054054054053,2.6052631578947367,3.1818181818181817,3.0,3.0,4.0,0.714384229659507,0.7177405625652734,0.5773502691896257,0.5773502691896257,0,0,0.949244672890322,1.1454685452661013,1.403556186965798,1.3663815636654695,0.4045199174779453,0.6324555320336759,0,0
s0028,2.1333333333333333,1.6666666666666667,2.5,2.5,1.0,2.0,2.3424657534246576,2.1016949152542375,2.2972972972972974,2.5526315789473686,3.090909090909091,3.0,3.0,4.0,0.7302967433402214,1.0730867399773196,0.5773502691896257,0.5773502691896257,0,0,1.0569765329334393,1.045432021804899,1.3917388177876395,1.38909592261264,0.30151134457776363,0.6324555320336759,0,0
s0030,2.1333333333333333,2.6666666666666665,2.0,2.5,2.0,1.0,1.63013698630137,1.9491525423728813,2.2162162162162162,2.4358974358974357,2.909090909090909,2.8333333333333335,3.0,4.0,0.7760791522613609,0.9847319278346619,0.0,1.2909944487358056,0,0,0.8898634307682108,0.9545486171675743,1.416865380869865,1.4103913565664896,0.8312094145936335,1.1690451944500122,0,0
s0031,2.2333333333333334,2.9166666666666665,2.75,3.0,1.0,2.0,1.7397260273972603,2.440677966101695,2.2972972972972974,2.6153846153846154,2.8181818181818183,2.6666666666666665,3.0,4.0,0.7279320417946061,1.0836246694508316,0.5,1.1547005383792515,0,0,0.8664646761453174,1.1636919020006968,1.431100292798533,1.4070384092199621,0.6030226891555273,0.5163977794943222,0,0
s0032,2.0,2.25,3.25,3.25,3.0,1.0,2.219178082191781,2.5254237288135593,2.4864864864864864,2.5641025641025643,1.3636363636363635,1.3333333333333333,3.0,4.0,0.7427813527082074,1.2154310870109943,0.5,0.9574271077563381,0,0,1.0573364772765592,1.1500514561709965,1.346221494521727,1.4289280449430724,0.9244162777371754,0.5163977794943223,0,0
s0033,2.1,2.0833333333333335,2.5,2.25,1.0,2.0,2.3698630136986303,2.6610169491525424,2.324324324324324,2.5128205128205128,2.8181818181818183,2.6666666666666665,3.0,4.0,0.6617635789938568,1.2401124093721456,0.5773502691896257,0.9574271077563381,0,0,1.1118908983632403,1.2262948046793785,1.4152748860214406,1.3930616579053654,0.6030226891555273,0.5163977794943222,0,0
s0035,2.1666666666666665,2.8333333333333335,2.5,3.0,2.0,2.0,1.726027397260274,2.0338983050847457,2.3157894736842106,2.5526315789473686,3.090909090909091,3.0,,4.0,0.8339078479367937,1.0298573010888747,0.5773502691896257,0.816496580927726,0,0,0.9015461098179354,1.066190474263802,1.3970096085470167,1.38909592261264,0.30151134457776363,0.6324555320336759,0,0
s0036,2.1666666666666665,2.8333333333333335,2.5,3.0,2.0,2.0,1.726027397260274,2.0338983050847457,2.27027027027027,2.526315789473684,3.090909090909091,3.0,3.0,4.0,0.8339078479367937,1.0298573010888747,0.5773502691896257,0.816496580927726,0,0,0.9015461098179354,1.066190474263802,1.3874166371083076,1.3898637324857026,0.30151134457776363,0.6324555320336759,0,0
s0037,2.1666666666666665,2.8333333333333335,2.5,3.0,2.0,2.0,1.726027397260274,2.0338983050847457,2.2972972972972974,2.5526315789473686,3.090909090909091,3.0,3.0,4.0,0.8339078479367937,1.0298573010888747,0.5773502691896257,0.816496580927726,0,0,0.9015461098179354,1.066190474263802,1.3917388177876395,1.38909592261264,0.30151134457776363,0.6324555320336759,0,0
s0039,2.2,2.9166666666666665,2.5,3.0,4.0,1.0,1.8630136986301369,2.0847457627118646,2.5405405405405403,2.5641025641025643,3.0,2.8333333333333335,3.0,4.0,1.186126701378962,0.9962049198956219,0.5773502691896257,0.816496580927726,0,0,0.9023898592864811,1.0713854323229357,1.4062281029326205,1.4289280449430721,0.0,0.752772652709081,0,0
s0040,2.2,2.9166666666666665,2.5,2.75,4.0,1.0,1.7945205479452055,2.0847457627118646,2.4864864864864864,2.5641025641025643,3.0,2.8333333333333335,3.0,4.0,1.186126701378962,0.9962049198956219,0.5773502691896257,0.9574271077563381,0,0,0.8812696665983476,1.0713854323229357,1.4067618771416075,1.4289280449430721,0.0,0.752772652709081,0,0
s0041,2.2,2.9166666666666665,2.5,2.75,4.0,1.0,1.8493150684931507,2.0677966101694913,2.4864864864864864,2.5641025641025643,3.0,2.8333333333333335,3.0,4.0,1.186126701378962,0.9962049198956219,0.5773502691896257,0.9574271077563381,0,0,0.9078551168782435,1.0645446943154648,1.4067618771416075,1.4289280449430721,0.0,0.752772652709081,0,0
s0042,2.2,2.9166666666666665,2.5,2.75,4.0,1.0,1.8356164383561644,2.0677966101694913,2.5405405405405403,2.5641025641025643,3.0,2.8333333333333335,3.0,4.0,1.186126701378962,0.9962049198956219,0.5773502691896257,0.9574271077563381,0,0,0.8977394238081341,1.0645446943154648,1.4062281029326205,1.4289280449430721,0.0,0.752772652709081,0,0
s0044,1.9333333333333333,2.8333333333333335,2.5,2.75,3.0,2.0,1.821917808219178,2.016949152542373,2.3783783783783785,2.6578947368421053,3.090909090909091,3.0,3.0,4.0,0.8683449709106094,0.937436866561092,0.5773502691896257,0.9574271077563381,0,0,0.8872940411007544,1.0746535195239122,1.3814515584733358,1.400314941206494,0.30151134457776363,0.6324555320336759,0,0
s0045,2.1666666666666665,2.8333333333333335,2.5,2.75,2.0,3.0,1.7123287671232876,2.0338983050847457,2.324324324324324,2.6052631578947367,3.090909090909091,3.0,3.0,4.0,0.8339078479367937,1.0298573010888747,0.5773502691896257,0.9574271077563381,0,0,0.904916387402028,1.066190474263802,1.395509744662303,1.3663815636654695,0.30151134457776363,0.6324555320336759,0,0
s0046,2.2,2.9166666666666665,3.25,3.25,2.0,2.0,1.726027397260274,2.5084745762711864,2.4594594594594597,2.6153846153846154,1.1818181818181819,1.1666666666666667,3.0,4.0,0.7611243951073875,1.0836246694508316,0.5,0.9574271077563381,0,0,0.9318481333797948,1.1651976501854362,1.3661501990507363,1.4070384092199621,0.6030226891555273,0.40824829046386296,0,0
s0065,2.033333333333333,2.8333333333333335,2.5,2.75,1.0,2.0,1.9589041095890412,2.0508474576271185,3.054054054054054,2.5789473684210527,3.090909090909091,3.0,3.0,,0.8502873077655143,1.0298573010888747,0.5773502691896257,0.9574271077563381,0,0,0.949244672890322,1.073565262516143,0.9702790533869324,1.387815295510302,0.30151134457776363,0.6324555320336759,0,0
