Grouping,Description,Variables
Delta (TAF and Km),Delta flows and upstream storage (TAF),"NDO, C_CAA003, C_DMC000, C_SAC041, C_SJR070, S_SHSTA, X2_PRV_KM"
Environment (TAF and Km),"Tributary flows, exports, storage, and salinity (TAF and Km)","C_KSWCK, C_SAC041, C_SJR070, C_FTR029, C_YUB002, C_MOK028, C_AMR004, C_STS011, C_TUO003, C_MCD005, NDO, C_CAA003, C_DMC000, S_SHSTA, X2_PRV_KM"
Reservoirs (TAF),Major Reservoirs (TAF),"S_SHSTA, S_OROVL, S_FOLSM, S_SLUIS, S_SLUIS_CVP, S_SLUIS_SWP, S_TRNTY, S_MELON, S_MLRTN"
Flows (TAF),"Channel flows, Spills, and Delta outflow (TAF)","C_SAC041, C_SAC085, SP_SAC083_YBP037, C_FTR003, C_SAC257, C_KSWCK, C_AMR004, NDO, C_SJR070, C_STS017, C_TUO003, C_SJR115, C_MCD005, C_MOK028, C_YUB002, C_FTR029, C_STS011, C_SJR127"
Deliveries (TAF),Aggregated CVP and SWP Deliveries (TAF),"DEL_CVP_PAG_N, DEL_CVP_PSC_N, DEL_CVP_PMI_N, SWP_FRSA, DEL_SWP_PMI, DEL_SWP_PMI_S, DEL_SWP_TOTA, DEL_CVP_PAG_S, DEL_CVP_PEX_S, DEL_CVP_PMI_S, DEL_CVP_PRF_S"
Exports (TAF),Export Pumping from Delta (TAF),"C_DMC000, C_DMC000_TD, C_CAA003_SWP, C_CAA003"
"Salinity (Umhos/Cm, Km)",Delta Salinity (electrical conductivity) at principal locations (Umhos/Cm and Km),"JP_EC_MONTH, RS_EC_MONTH, EM_EC_MONTH, TRACYEC_MAX14DAY, BANKSEC_MAX14DAY, X2_PRV_KM"
NOD Reservoirs,NOD Major Reservoirs (TAF),"S_SHSTA, S_OROVL, S_FOLSM,  S_TRNTY"
SOD Reservoirs,SOD Major Reservoirs (TAF),"S_SLUIS, S_SLUIS_CVP, S_SLUIS_SWP, S_MELON, S_MLRTN"
CVP Deliveries,Aggregated CVP Deliveries (TAF),"DEL_CVP_PAG_N, DEL_CVP_PSC_N, DEL_CVP_PMI_N, SWP_FRSA, DEL_SWP_PMI, DEL_SWP_PMI_S, DEL_SWP_TOTA, DEL_CVP_PAG_S, DEL_CVP_PEX_S, DEL_CVP_PMI_S, DEL_CVP_PRF_S"
SWP Deliveries,Aggregated SWP Deliveries (TAF),"DEL_CVP_PAG_N, DEL_CVP_PSC_N, DEL_CVP_PMI_N, SWP_FRSA, DEL_SWP_PMI, DEL_SWP_PMI_S, DEL_SWP_TOTA, DEL_CVP_PAG_S, DEL_CVP_PEX_S, DEL_CVP_PMI_S, DEL_CVP_PRF_S"
System Overview,Significant Variables (TAF),"S_SHSTA, S_OROVL, DEL_CVP_TOTAL, DEL_SWP_TOTAL, NDO, D408_CVP"
