Number of Time Steps:,1200,,,,,,,,,,,,,,,,,,,,,,,,
Start Date:,31-Oct-21,,,,,,,,,,,,,,,,,,,,,,,,
Start Time:,2400,,,,,,,,,,,,,,,,,,,,,,,,
End Date:,30-Sep-21,,,,,,,,,,,,,,,,,,,,,,,,
End Time:,2400,,,,,,,,,,,,,,,,,,,,,,,,
,Pathnames:,Part A:,Part B:,Part C:,UNITS,Part F:,,Col:,,,,,,,,,,,,,,,,,
,/CALSIM/S_TRNTY/STORAGE//1MON/L2020A/,CALSIM,S_TRNTY,STORAGE,,L2020A,3,C,INST-VAL,Trinity Storage,,,,,,,,,,,,,,,
,/CALSIM/S_TRNTYLEVEL1DV/STORAGE-LEVEL//1MON/L2020A/,CALSIM,S_TRNTYLEVEL1DV,STORAGE-LEVEL,,L2020A,3,C,INST-VAL,Trinity Level 1,,,,,,,,,,,,,,,
,/CALSIM/S_TRNTYLEVEL4DV/STORAGE-LEVEL//1MON/L2020A/,CALSIM,S_TRNTYLEVEL4DV,STORAGE-LEVEL,,L2020A,3,C,INST-VAL,Trinity Level 4,,,,,,,,,,,,,,,
,/CALSIM/S_TRNTYLEVEL5DV/STORAGE-LEVEL//1MON/L2020A/,CALSIM,S_TRNTYLEVEL5DV,STORAGE-LEVEL,,L2020A,3,C,INST-VAL,Trinity Level 5,,,,,,,,,,,,,,,
,/CALSIM/C_TRNTY/CHANNEL//1MON/L2020A/,CALSIM,C_TRNTY,CHANNEL,TAF,L2020A,4,D,PER-AVER,Trinity Release,,,,,,,,,,,,,,,
,/CALSIM/C_LWSTN/CHANNEL//1MON/L2020A/,CALSIM,C_LWSTN,CHANNEL,TAF,L2020A,5,E,PER-AVER,Trinity Flow below Lewiston,,,,,,,,,,,,,,,
,/CALSIM/D_LWSTN_CCT011/DIVERSION//1MON/L2020A/,CALSIM,D_LWSTN_CCT011,DIVERSION,TAF,L2020A,6,F,PER-AVER,Trinity Import through Clear Creek Tunnel,,,,,,,,,,,,,,,
,/CALSIM/C_WKYTN/CHANNEL//1MON/L2020A/,CALSIM,C_WKYTN,CHANNEL,TAF,L2020A,7,G,PER-AVER,Clear Creek Flow below Whiskeytown,,,,,,,,,,,,,,,
,/CALSIM/S_SHSTA/STORAGE//1MON/L2020A/,CALSIM,S_SHSTA,STORAGE,,L2020A,8,H,INST-VAL,Shasta Storage,,,,,,,,,,,,,,,
,/CALSIM/S_SHSTALEVEL1DV/STORAGE-LEVEL//1MON/L2020A/,CALSIM,S_SHSTALEVEL1DV,STORAGE-LEVEL,,L2020A,143,EM,PER-AVER,Shasta Level 1,,,,,,,,,,,,,,,
,/CALSIM/S_SHSTALEVEL5DV/STORAGE-LEVEL//1MON/L2020A/,CALSIM,S_SHSTALEVEL5DV,STORAGE-LEVEL,,L2020A,143,EM,PER-AVER,Shasta Level 5,,,,,,,,,,,,,,,
,/CALSIM/S_SHSTALEVEL6DV/STORAGE-LEVEL//1MON/L2020A/,CALSIM,S_SHSTALEVEL6DV,STORAGE-LEVEL,,L2020A,143,EM,PER-AVER,Shasta Level 6,,,,,,,,,,,,,,,
,/CALSIM/C_SHSTA/CHANNEL//1MON/L2020A/,CALSIM,C_SHSTA,CHANNEL,TAF,L2020A,9,I,PER-AVER,Shasta Release to Sacramento River,,,,,,,,,,,,,,,
,/CALSIM/C_KSWCK_MIF/FLOW-MIN-INSTREAM//1MON/L2020A/,CALSIM,C_KSWCK_MIF,FLOW-MIN-INSTREAM,TAF,L2020A,10,J,PER-AVER,Sacramento River Minimum Flow below Keswick Dam,,,,,,,,,,,,,,,
